x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	x	ymdn	ycca	yprior	
1.51515	0.70685	0.67905	0.16325	1.51515	0.61575	0.59215	0.13455	1.51515	0.5363	0.53265	0.12395	1.51515	0.49175	0.4628	0.12365	1.51515	0.4118	0.42795	0.1271	1.51515	0.6566	0.58425	0.02895	1.51515	0.5048	0.50245	0.0259	1.51515	0.5022	0.4868	0.03005	1.51515	0.66455	0.45455	0.04375	1.51515	0.5696	0.5573	0.05665	0.60606	0.95225	0.9657	0.1051	0.60606	0.65475	0.9489	0.0887	0.60606	0.79835	0.92235	0.05535	0.60606	0.64905	0.9365	0.0448	0.60606	0.2687	0.93265	0.04415	
1.66667	0.7221	0.699	0.18915	1.66667	0.63965	0.61285	0.149	1.66667	0.56035	0.5576	0.14375	1.66667	0.511	0.4809	0.1413	1.66667	0.4327	0.45715	0.1409	1.66667	0.6745	0.60575	0.0323	1.66667	0.5418	0.53205	0.02825	1.66667	0.55815	0.5244	0.03325	1.66667	0.69405	0.4893	0.04825	1.66667	0.60575	0.5851	0.0624	0.66667	0.958	0.9699	0.1154	0.66667	0.6895	0.9552	0.09855	0.66667	0.82435	0.93055	0.0611	0.66667	0.69115	0.946	0.0485	0.66667	0.29395	0.94105	0.0476	
1.81818	0.7358	0.71505	0.2202	1.81818	0.6574	0.6314	0.157	1.81818	0.5813	0.57925	0.1577	1.81818	0.52715	0.50085	0.15465	1.81818	0.4515	0.4784	0.1525	1.81818	0.6897	0.62635	0.03615	1.81818	0.57315	0.56045	0.0304	1.81818	0.603	0.552	0.0364	1.81818	0.71855	0.5263	0.05305	1.81818	0.6404	0.6108	0.0688	0.72727	0.96305	0.9728	0.1262	0.72727	0.7221	0.96045	0.10705	0.72727	0.8472	0.938	0.06675	0.72727	0.7341	0.95365	0.0523	0.72727	0.32055	0.94765	0.05245	
1.9697	0.75015	0.729	0.2508	1.9697	0.6838	0.6491	0.1658	1.9697	0.60305	0.6002	0.1716	1.9697	0.545	0.5149	0.1668	1.9697	0.4725	0.4971	0.1672	1.9697	0.70565	0.6452	0.03915	1.9697	0.60635	0.5834	0.0332	1.9697	0.6413	0.5802	0.0386	1.9697	0.7369	0.55245	0.05795	1.9697	0.6665	0.6364	0.0755	0.78788	0.9666	0.9751	0.1367	0.78788	0.75445	0.96485	0.11545	0.78788	0.8693	0.9441	0.0725	0.78788	0.7724	0.9608	0.05505	0.78788	0.34535	0.95325	0.05705	
2.12121	0.76385	0.74315	0.28505	2.12121	0.70285	0.6685	0.17785	2.12121	0.62535	0.61575	0.18555	2.12121	0.5626	0.53685	0.17775	2.12121	0.48965	0.51025	0.1804	2.12121	0.71965	0.66055	0.04115	2.12121	0.63515	0.60685	0.0359	2.12121	0.6759	0.6054	0.041	2.12121	0.7549	0.57515	0.06225	2.12121	0.69305	0.6643	0.08185	0.84848	0.97075	0.9767	0.14975	0.84848	0.7889	0.96905	0.12305	0.84848	0.8851	0.94965	0.07955	0.84848	0.8014	0.96615	0.05775	0.84848	0.36905	0.95785	0.0612	
2.27273	0.7771	0.75665	0.3209	2.27273	0.71865	0.68745	0.1881	2.27273	0.64335	0.633	0.1992	2.27273	0.579	0.55145	0.1882	2.27273	0.5093	0.52345	0.19205	2.27273	0.7321	0.6755	0.0436	2.27273	0.6631	0.629	0.0383	2.27273	0.7127	0.62925	0.0434	2.27273	0.7775	0.59645	0.06695	2.27273	0.7192	0.6888	0.08725	0.90909	0.9733	0.97845	0.16145	0.90909	0.817	0.9719	0.13215	0.90909	0.8986	0.95465	0.08505	0.90909	0.8314	0.9699	0.0604	0.90909	0.39455	0.9616	0.06545	
2.42424	0.78965	0.77135	0.35755	2.42424	0.73065	0.7042	0.1985	2.42424	0.6554	0.64795	0.2125	2.42424	0.58995	0.56975	0.2003	2.42424	0.5253	0.54045	0.20525	2.42424	0.7426	0.68785	0.0462	2.42424	0.6883	0.6527	0.0402	2.42424	0.7445	0.6503	0.0461	2.42424	0.7919	0.6154	0.07135	2.42424	0.7451	0.71555	0.09295	0.9697	0.97585	0.9799	0.1722	0.9697	0.8405	0.9748	0.14	0.9697	0.9164	0.95905	0.09085	0.9697	0.86055	0.97315	0.0633	0.9697	0.41635	0.96515	0.06915	
2.57576	0.8007	0.78395	0.3943	2.57576	0.74275	0.71805	0.2104	2.57576	0.6672	0.6633	0.2217	2.57576	0.6052	0.587	0.2149	2.57576	0.54705	0.55365	0.21725	2.57576	0.7528	0.69955	0.0484	2.57576	0.71135	0.67305	0.0416	2.57576	0.7714	0.6731	0.04885	2.57576	0.8128	0.6329	0.0756	2.57576	0.76825	0.7385	0.0984	1.0303	0.9779	0.9812	0.18305	1.0303	0.8614	0.97685	0.14805	1.0303	0.9322	0.96325	0.09635	1.0303	0.8853	0.9759	0.0672	1.0303	0.4361	0.96825	0.0734	
2.72727	0.81065	0.79485	0.433	2.72727	0.75115	0.7341	0.22325	2.72727	0.68025	0.67685	0.2329	2.72727	0.618	0.6023	0.23005	2.72727	0.56405	0.5691	0.2271	2.72727	0.7629	0.7104	0.0513	2.72727	0.7297	0.69205	0.04295	2.72727	0.79065	0.6956	0.05145	2.72727	0.82575	0.64895	0.08005	2.72727	0.7974	0.75485	0.1028	1.09091	0.9795	0.98235	0.19405	1.09091	0.881	0.97875	0.15665	1.09091	0.94435	0.96645	0.1017	1.09091	0.90555	0.97795	0.0748	1.09091	0.45795	0.9706	0.07775	
2.87879	0.81985	0.80265	0.4753	2.87879	0.76085	0.7459	0.2388	2.87879	0.6956	0.69005	0.24605	2.87879	0.62695	0.62025	0.24395	2.87879	0.5782	0.57825	0.2369	2.87879	0.7725	0.72035	0.0537	2.87879	0.74855	0.71015	0.04385	2.87879	0.8107	0.714	0.05455	2.87879	0.83955	0.66295	0.08455	2.87879	0.8234	0.772	0.1073	1.15152	0.98095	0.98355	0.20585	1.15152	0.89515	0.98045	0.16455	1.15152	0.9545	0.9696	0.1092	1.15152	0.92395	0.97995	0.07975	1.15152	0.47505	0.97295	0.082	
